accession	definitionLine	organism	product	isolation_source	db_xref	host	clone	isolate	strain	tissue_type	lat_lon	country	note	lab_host
FM196532	"Mycoplasma sp. 1449 partial 16S rRNA gene, type strain 1449T."	Mycoplasma aquilae ATCC BAA-1896	16S ribosomal RNA	host kidney	taxon:547986	Aquila adalberti	none	none	type strain: 1449	none	none	Spain	none	none
FM196534	"Mycoplasma sp. Zaradi2 partial 16S rRNA gene, type strain Zaradi2T."	Mycoplasma preputii ATCC BAA-1891	16S ribosomal RNA	host prepuce	taxon:547987	Bos taurus	none	none	type strain: Zaradi2	none	none	Austria	none	none
GU227397	"Ureaplasma diversum strain ATCC 49782 16S ribosomal RNA gene, partial sequence."	Ureaplasma diversum	16S ribosomal RNA	urogenital tract swab	taxon:42094	Bos taurus	none	none	ATCC 49782	none	none	Canada	none	none
HE648941	"Uncultured Mycoplasma sp. partial 16S rRNA gene, clone TZ170.27."	uncultured Mycoplasma sp.	16S ribosomal RNA	host cytoplasm	taxon:167967	Bryopsis sp.	TZ170.27	none	none	none	none	Tanzania	none	none
HG425178	"Grasshopper phytoplasma partial 16S rRNA gene, isolate Palampur."	Grasshopper phytoplasma	16S ribosomal RNA	grasshopper	taxon:1395165	Caelifera sp.	none	Palampur	none	none	none	India:Palampur	none	none
HF548852	"Mycoplasma sp. AR-2012 partial 16S rRNA gene, isolate Jamara-1."	Mycoplasma sp. AR-2012	16S ribosomal RNA	host genital tract	taxon:1257087	Camelus dromedarius	none	Jamara-1	none	none	none	Spain:Canary Islands	none	none
AM774638	"Mycoplasma mucosicanis 16S rRNA gene, type strain 1642T."	Mycoplasma mucosicanis	16S ribosomal RNA	genital tract from host	taxon:458208	Canis lupus familiaris	none	none	type strain: 1642	none	none	Austria:Vienna	none	none
HE577612	"Uncultured Mycoplasma sp. partial 16S rRNA gene, isolate T1."	uncultured Mycoplasma sp.	16S ribosomal RNA	host blood	taxon:167967	Canis lupus familiaris	none	T1	none	none	none	none	none	none
NR_026036	"Mycoplasma cottewii strain VIS 16S ribosomal RNA gene, partial sequence."	Mycoplasma cottewii	16S ribosomal RNA	external ear canal	taxon:51364	Capra hircus	none	none	VIS; NCTC 51347	none	none	none	none	none
NR_026034	"Mycoplasma adleri strain G145 16S ribosomal RNA gene, partial sequence."	Mycoplasma adleri	16S ribosomal RNA	abscessed ankle	taxon:51362	Capra hircus	none	none	G145; ATCC	none	none	none	none	none
GU227390	"Ureaplasma sp. USP4 16S ribosomal RNA gene, partial sequence."	Ureaplasma sp. USP4	16S ribosomal RNA	urogenital tract swab	taxon:699445	Capra hircus	none	none	USP4	none	none	Brazil	none	none
FJ667773	"Uncultured Mycoplasma sp. clone 1 16S ribosomal RNA gene, partial sequence."	uncultured Mycoplasma sp.	16S ribosomal RNA	blood	taxon:167967	capybara (Hydrochaeris hydrochaeris)	1	none	none	none	none	Brazil	none	none
FJ667774	"Uncultured Mycoplasma sp. clone 2 16S ribosomal RNA gene, partial sequence."	uncultured Mycoplasma sp.	16S ribosomal RNA	blood	taxon:167967	capybara (Hydrochaeris hydrochaeris)	2	none	none	none	none	Brazil	none	none
LT558787	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate PP01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	Leaves	taxon:180978	Carica Papaya	none	PP01	none	none	none	none	none	none
LT558790	"Candidatus Phytoplasma balanitae partial 16S rRNA gene, isolate CN01."	Candidatus Phytoplasma balanitae	16S ribosomal RNA	Stem	taxon:1130089	Cestrum nocturnum	none	CN01	none	none	none	none	none	none
MG846120	"Mycoplasma gallisepticum strain EB22 16S ribosomal RNA gene, partial sequence."	Mycoplasma gallisepticum	16S ribosomal RNA	chickens with respiratory signes	taxon:2096	chicken	16S rRNA-IRQ	none	EB22	none	none	Iraq	none	none
MG846121	"Mycoplasma synoviae strain EB44 16S ribosomal RNA gene, partial sequence."	Mycoplasma synoviae	16S ribosomal RNA	chickens with respiratory signes	taxon:2109	chicken	16S rRNA-IRQ	none	EB44	none	none	Iraq	none	none
FN394055	"Mycoplasma sp. Sp22 partial 16S rRNA gene, strain Sp22."	Mycoplasma sp. Sp22	16S ribosomal RNA	lung of white stork	taxon:645422	Ciconia ciconia	none	none	Sp22	none	none	Austria:Vienna	none	none
LN866574	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, clone J2."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	acid lime leaves	taxon:180978	Citrus aurantifolia	J2	none	none	none	none	none	none	none
LN866580	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, clone SHW."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	acid lime leaves	taxon:180978	Citrus aurantifolia	SHW	none	none	none	none	none	none	none
AM157768	"Spiroplasma citri 16S rRNA gene, isolate Fewa."	Spiroplasma citri	16S ribosomal RNA	host leaves	taxon:2133	Citrus sinensis	none	Fewa	none	none	none	Egypt:Fewa	none	none
AM157769	"Spiroplasma citri 16S rRNA gene, isolate Qualubia."	Spiroplasma citri	16S ribosomal RNA	host leaves	taxon:2133	Citrus sinensis	none	Qualubia	none	none	none	Egypt:Qualubia	none	none
LT558784	"Candidatus Phytoplasma aurantifolia partial 16S rRNA gene, isolate CV01."	Candidatus Phytoplasma aurantifolia	16S ribosomal RNA	Leaves	taxon:180978	Cleome viscosa	none	CV01	none	none	none	none	none	none
LN907226	"Candidatus Phytoplasma solani partial 16S rRNA gene, isolate EGY14-LIS2."	Candidatus Phytoplasma solani	16S ribosomal RNA	plant midribs	taxon:69896	Convolvulus arvensis	none	EGY14-LIS2	none	none	none	Egypt:Gharbia	none	none
LN907225	"Candidatus Phytoplasma solani partial 16S rRNA gene, isolate EGY14-LIS1."	Candidatus Phytoplasma solani	16S ribosomal RNA	plant midribs	taxon:69896	Convolvulus arvensis	none	EGY14-LIS1	none	none	none	Egypt:kafrelsheikh	none	none
AM746983	"Candidatus Phytoplasma prunorum partial 16S rRNA gene, strain ESFY-CCA1."	Candidatus Phytoplasma prunorum	16S ribosomal RNA	Cacopsylla affinis	taxon:47565	Crataegus monogyna	none	none	ESFY-CCA1	none	none	Italy:Aosta Valley	none	none
AM404163	"Candidatus Phytoplasma prunorum partial 16S rRNA gene, strain ESFY-CCP2."	Candidatus Phytoplasma prunorum	16S ribosomal RNA	Cacopsylla peregrina	taxon:47565	Crataegus monogyna	none	none	ESFY-CCP2	none	none	Italy:Aosta Valley	none	none
AM404170	"Candidatus Phytoplasma pyri partial 16S rRNA gene, strain PD-CCC2."	Candidatus Phytoplasma pyri	16S ribosomal RNA	Cacopsylla crataegi	taxon:47566	Crataegus monogyna	none	none	PD-CCC2	none	none	Italy:Aosta Valley	none	none
AM404171	"Candidatus Phytoplasma pyri partial 16S rRNA gene, strain PD-C1."	Candidatus Phytoplasma pyri	16S ribosomal RNA	Crataegus monogyna	taxon:47566	Crataegus monogyna	none	none	PD-C1	none	none	Italy:Aosta Valley	none	none
AM404176	"Candidatus Phytoplasma pyri partial 16S rRNA gene, strain PD-CCM1."	Candidatus Phytoplasma pyri	16S ribosomal RNA	Cacopsylla melanoneura	taxon:47566	Crataegus monogyna	none	none	PD-CCM1	none	none	Italy:Aosta Valley	none	none
