"","hosts","tissues","hosts2","tissues2"
"HM179556_Mycoplasma_arginini","vertebrate","no tag","vertebrate","no tag"
"NR_026035_Mycoplasma_auris","vertebrate","auditory_tract","vertebrate","auditory_tract"
"FM165077_Mycoplasma_sp_237IA","vertebrate","respratory_tract","vertebrate","respratory_tract"
"FM165075_Mycoplasma_sp_A1802","vertebrate","respratory_tract","vertebrate","respratory_tract"
"AM420094_uncultured_Mycoplasma_sp","plant","mouth","vertebrate","mouth"
"FJ226581_Mycoplasma_zalophi","vertebrate","mouth","vertebrate","mouth"
"FR799668_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799669_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799666_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799667_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799661_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799664_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799665_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799678_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FM897203_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799670_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799652_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799653_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799651_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799631_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799644_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799641_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","no tag"
"FR799647_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799674_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799634_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799629_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799628_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799633_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FM897202_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799643_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","no tag"
"FR799624_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799658_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799638_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","no tag"
"FR799630_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799646_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799637_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","no tag"
"FR799649_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799645_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799626_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799627_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FM897201_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799625_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799650_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"FR799672_uncultured_Mycoplasma_sp","plant","digestive_tract","vertebrate","digestive_tract"
"HE648941_uncultured_Mycoplasma_sp","plant","cytoplasm","plant","cytoplasm"
"MF977375_Mycoplasma_hyopneumoniae","vertebrate","respratory_tract","no tag","respratory_tract"
"MF977369_Mycoplasma_hyopneumoniae","vertebrate","respratory_tract","no tag","respratory_tract"
"EU859982_Mycoplasma_phocirhinis","vertebrate","respratory_tract","vertebrate","respratory_tract"
"AM774638_Mycoplasma_mucosicanis","vertebrate","genital_tract","vertebrate","genital_tract"
"HF548852_Mycoplasma_sp_AR_2012","vertebrate","genital_tract","vertebrate","genital_tract"
"AM073013_Mycoplasma_gallinarum","vertebrate","respratory_tract","vertebrate","respratory_tract"
"FR869692_Mycoplasma_sp_30L","vertebrate","respratory_tract","vertebrate","respratory_tract"
"NR_026034_Mycoplasma_adleri","vertebrate","ankle","vertebrate","ankle"
"FM196534_Mycoplasma_preputii_ATCC_BAA_1891","vertebrate","genital_tract","vertebrate","genital_tract"
"EU859985_Mycoplasma_sp_CSL7489_oral","vertebrate","mouth","vertebrate","mouth"
"EU859984_Mycoplasma_sp_CSL7529_conjunctiva","vertebrate","no tag","vertebrate","no tag"
"EU714238_Mycoplasma_sp_CSL7503_lung","vertebrate","respratory_tract","vertebrate","respratory_tract"
"FM165074_Mycoplasma_sp_C3","vertebrate","mouth","vertebrate","mouth"
"FM196532_Mycoplasma_aquilae_ATCC_BAA_1896","vertebrate","kidney","vertebrate","kidney"
"FM165076_Mycoplasma_sp_2F1A","vertebrate","respratory_tract","vertebrate","respratory_tract"
"AM073015_Mycoplasma_synoviae","vertebrate","respratory_tract","vertebrate","respratory_tract"
"MG846121_Mycoplasma_synoviae","vertebrate","respratory_tract","vertebrate","respratory_tract"
"NR_115220_Mycoplasma_testudineum","vertebrate","respratory_tract","vertebrate","respratory_tract"
"AY366210_Mycoplasma_testudineum","vertebrate","respratory_tract","vertebrate","respratory_tract"
"FR839042_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839104_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"HE974900_uncultured_Mollicutes_bacterium","plant","no tag","no tag","no tag"
"AM905478_Candidatus_Lumbricincola_sp_Lt_EX_E10","vertebrate","auditory_tract","invertebrate","no tag"
"AM905480_Candidatus_Lumbricincola_sp_Lt_EX_G9","vertebrate","auditory_tract","invertebrate","no tag"
"AM905482_Candidatus_Lumbricincola_sp_Lt_GC_G5","vertebrate","auditory_tract","invertebrate","digestive_tract"
"AM905476_Candidatus_Lumbricincola_sp_Ef_GC_D1","vertebrate","auditory_tract","invertebrate","digestive_tract"
"AM905479_Candidatus_Lumbricincola_sp_Lt_EX_E12","vertebrate","auditory_tract","invertebrate","no tag"
"AM905475_Candidatus_Lumbricincola_sp_Ef_GC_C6","vertebrate","auditory_tract","invertebrate","digestive_tract"
"AM905474_Candidatus_Lumbricincola_sp_Ef_GC_A6","vertebrate","auditory_tract","invertebrate","digestive_tract"
"AM905473_Candidatus_Lumbricincola_sp_Ef_GC_A3","vertebrate","auditory_tract","invertebrate","digestive_tract"
